load_name,timestamp,datetime,minute,cpu_cores,memory_gb,spans_per_sec,bytes_per_sec,p50_latency_ms,p90_latency_ms,p99_latency_ms,query_failures_per_sec,dropped_spans_per_sec,discarded_spans_per_sec
"high",1764746631,"2025-12-03T07:23:51Z",19,4.004999756342327,13.873031616210938,30327.466666666667,3328430.8,331.2803608605135,739.8717948717944,2000.1724137931021,0,0,0
"high",1764746691,"2025-12-03T07:24:51Z",20,3.977482484197318,14.655704498291016,30310.399999999998,3327812.966666667,354.1024653312788,864.7321428571422,2187.6785714285693,0,0,0
"high",1764746751,"2025-12-03T07:25:51Z",21,3.977648898749228,14.65726089477539,30293.333333333332,3323973.5,333.88671875000006,801.6634050880631,2000.5172413793155,0,0,0
"high",1764746811,"2025-12-03T07:26:51Z",22,3.97238535866633,15.423233032226562,30344.533333333333,3330436.3666666667,337.9760225669957,787.5894988066817,2111.6071428571395,0,0,0
"high",1764746871,"2025-12-03T07:27:51Z",23,3.986426548394636,16.069007873535156,30276.266666666666,3323912.5,339.5756457564576,788.3697813121275,1935.259740259743,0,0,0
"high",1764746931,"2025-12-03T07:28:51Z",24,3.9985899828551195,16.848678588867188,30259.2,3318216.9,364.10411622276035,913.3276740237691,2268.537234042554,0,0,0
"high",1764746991,"2025-12-03T07:29:51Z",25,4.04320831598197,17.796676635742188,30293.333333333332,3322958.466666667,371.82116488925357,945.166666666667,2379.858490566038,0,0,0
"high",1764747051,"2025-12-03T07:30:51Z",26,4.03061392822152,18.574546813964844,30327.466666666667,3325699.933333333,333.54004252303326,778.3415841584153,2110.133928571426,0,0,0
"high",1764747111,"2025-12-03T07:31:51Z",27,4.0211279430452755,18.576435089111328,30361.6,3330719.2,328.79146919431275,712.7873563218379,2016.833333333329,0,0,0
"high",1764747171,"2025-12-03T07:32:51Z",28,4.063821952973759,19.784839630126953,30361.6,3333754.2,370.95290654893296,899.7386759581882,2273.1686046511595,0,0,0
"high",1764747231,"2025-12-03T07:33:51Z",29,4.06076912371036,20.67304229736328,30344.533333333333,3330714.5,349.5645288994458,827.845884413311,2011.0344827586246,0,0,0
"high",1764747291,"2025-12-03T07:34:51Z",30,4.062830920967055,21.404491424560547,30293.333333333332,3327709.7333333334,343.03820720058786,817.6160337552751,2156.3274336283243,0,0,0
"high",1764747351,"2025-12-03T07:35:51Z",31,4.06702498014838,21.711238861083984,30361.6,3329552.3666666667,347.0491202346042,810.7210626185961,2021.1538461538482,0,0,0
"high",1764747411,"2025-12-03T07:36:51Z",32,4.045237626890162,23.193584442138672,30361.6,3329897.6,347.97808012093725,853.9603960396038,2195.279720279719,0,0,0
"high",1764747471,"2025-12-03T07:37:51Z",33,4.029178153804791,23.19023895263672,30361.6,3332731.8666666667,345.6212574850299,830.5118110236218,2131.1016949152554,0,0,0
"high",1764747531,"2025-12-03T07:38:51Z",34,4.075761001688666,24.868324279785156,30395.733333333334,3335860.6666666665,348.13262195121956,887.8464818763327,2264.702702702704,0,0,0
"high",1764747591,"2025-12-03T07:39:51Z",35,4.096386922805471,24.873401641845703,30293.333333333332,3324292.466666667,354.07239819004525,861.4953271028033,2274.2105263157823,0,0,0
"high",1764747651,"2025-12-03T07:40:51Z",36,4.0796799610011085,25.378761291503906,30378.666666666668,3338083.6666666665,351.0618479880775,884.6855983772821,2284.1525423728854,0,0,0
"high",1764747711,"2025-12-03T07:41:51Z",37,3.6154601817818457,26.148906707763672,30378.666666666668,3333200.4,353.0718701700155,904.757085020243,2277.9846938775518,0,0,0
"high",1764747771,"2025-12-03T07:42:51Z",38,4.1338752227168145,26.148906707763672,30395.733333333334,3334525.5666666664,333.5970464135021,780.2872062663182,2143.0737704918006,0,0,0
"high",1764747831,"2025-12-03T07:43:51Z",39,3.643566465365786,27.810039520263672,30378.666666666668,3331439.033333333,348.6018363939901,905.7116104868919,2270.079365079367,0,0,0
"high",1764747891,"2025-12-03T07:44:51Z",40,4.084073094781496,28.094371795654297,30225.066666666666,3314357.8666666667,371.9088098918083,898.8782051282046,2273.396226415091,0,0,0
"high",1764747951,"2025-12-03T07:45:51Z",41,4.164474769495015,29.847023010253906,30344.533333333333,3330725.2666666666,356.9013524264121,917.4199623352165,2285.197044334976,0,0,0
"high",1764748011,"2025-12-03T07:46:51Z",42,3.6056434726640942,29.84280014038086,30310.399999999998,3326203.9,333.3333333333333,810.5134474327618,2177.7777777777756,0,0,0
"high",1764748071,"2025-12-03T07:47:51Z",43,4.114856131738376,31.081634521484375,30395.733333333334,3336271.2,346.6553287981859,927.6412776412778,2352.745535714285,0,0,0
"high",1764748131,"2025-12-03T07:48:51Z",44,4.180642745082985,31.082874298095703,30310.399999999998,3326907.8666666667,333.507670850767,771.7223650385589,2116.315789473682,0,0,0
"high",1764748191,"2025-12-03T07:49:51Z",45,4.049243861340085,31.567123413085938,30327.466666666667,3327288.433333333,335.6164383561644,883.5051546391752,2342.6178010471167,0,0,0
"low",1764739979,"2025-12-03T05:32:59Z",1,0.4330306437183285,1.4631385803222656,7048.533333333333,772687.3666666667,53.24074074074077,204.10839160839168,245.41083916083917,0,0,0
"low",1764740039,"2025-12-03T05:33:59Z",2,0.6636346726177185,1.4404487609863281,7031.466666666666,771340.2333333333,58.395522388059746,210.0769230769231,246.4230769230769,0,0,0
"low",1764740099,"2025-12-03T05:34:59Z",3,0.9330255847108396,1.4412078857421875,7048.533333333333,774078.0333333333,60.567010309278395,223.9425981873112,427.08333333333314,0,0,0
"low",1764740159,"2025-12-03T05:35:59Z",4,1.206866041228143,1.4457969665527344,7031.466666666666,769906.3,60.75000000000005,225.69444444444449,437.4999999999998,0,0,0
"low",1764740219,"2025-12-03T05:36:59Z",5,1.599955809581109,1.6813583374023438,7065.599999999999,774979.6666666666,85.952380952381,260.5932203389837,858.8709677419351,0,0,0
"low",1764740279,"2025-12-03T05:37:59Z",6,2.114055363918884,1.8802986145019531,6997.333333333333,767466.1666666666,91.89655172413798,391.5289256198348,874.9999999999995,0,0,0
"low",1764740339,"2025-12-03T05:38:59Z",7,2.656366331873799,2.1691818237304688,7065.599999999999,775478.4333333333,120.83333333333344,433.70646766169153,871.6176470588238,0,0,0
"low",1764740399,"2025-12-03T05:39:59Z",8,3.290817419235288,2.327533721923828,7048.533333333333,773096.2,139.62264150943403,436.7149758454107,875.1428571428571,0,0,0
"low",1764740459,"2025-12-03T05:40:59Z",9,3.67930097563008,2.6090927124023438,7065.599999999999,776174.8,160.20761245674748,444.46902654867256,915.8823529411777,0,0,0
"low",1764740519,"2025-12-03T05:41:59Z",10,3.882610771046743,2.6096763610839844,7082.666666666667,777252.2333333333,90.3225806451614,378.92156862745134,943.3333333333334,0,0,0
